Município,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Total
240010 ACARI,,260,289,257,238,265,255,221,214,173,188,210,199,200,219,181,175,222,187,129,207,180,96,90,46,22,29,4752
240020 ACU,,1435,1576,1430,1400,1348,1565,1297,1332,1302,1362,1373,1371,1382,1265,1027,1331,1474,1372,1258,1267,1094,853,895,831,444,153,31437
240030 AFONSO BEZERRA,,66,42,75,70,82,77,97,116,89,60,88,47,35,11,39,26,37,32,13,30,20,8,2,13,2,2,1179
240040 AGUA NOVA,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,3
240050 ALEXANDRIA,,453,384,350,354,411,508,440,428,270,371,511,247,766,929,951,972,890,838,774,854,798,840,772,1099,1137,688,17035
240060 ALMINO AFONSO,,75,131,38,50,45,47,76,76,72,95,214,190,231,384,301,305,436,391,270,252,199,174,147,79,22,1,4301
240070 ALTO DO RODRIGUES,,,,4,,41,20,30,22,21,32,26,23,19,4,22,11,7,9,9,7,4,4,1,4,,1,321
240080 ANGICOS,,203,140,111,155,110,73,153,186,205,179,201,239,159,166,118,135,45,70,67,1,5,7,7,6,11,19,2771
240090 ANTONIO MARTINS,,151,143,169,172,164,177,202,251,185,143,112,120,141,77,73,82,80,41,43,61,61,26,5,,,46,2725
240100 APODI,,870,738,729,787,762,556,641,618,593,556,544,502,553,459,547,515,500,420,462,467,444,332,244,8,202,222,13271
240110 AREIA BRANCA,,407,364,390,300,399,248,253,286,321,302,342,290,290,222,196,175,90,49,10,11,12,7,15,11,9,13,5012
240120 ARES,269,246,306,551,277,310,96,,1,3,24,76,71,54,60,123,44,43,80,39,7,1,,1,5,7,5,2699
240130 AUGUSTO SEVERO,,,123,9,44,50,42,84,86,84,29,72,53,39,29,13,,2,2,3,,2,,,,,,766
240140 BAIA FORMOSA,72,55,52,26,2,33,62,28,29,23,23,25,19,20,16,8,2,1,,,,1,,4,1,3,3,508
240145 BARAUNA,,190,124,159,174,179,127,99,131,91,92,87,138,126,84,16,17,8,6,2,4,5,10,11,4,3,1,1888
240150 BARCELONA,,94,60,2,42,16,3,1,4,,2,19,2,,,1,,5,2,4,,4,1,,2,,3,267
240160 BENTO FERNANDES,1,17,16,20,20,4,5,40,64,45,26,,,,,,,,,,,,,,,,,258
240165 BODO,,,,,1,1,1,,,,,,,,,1,,,,,,,,,,,1,5
240170 BOM JESUS,6,94,129,125,93,64,122,51,41,78,60,1,1,,,,,,4,3,4,4,2,2,4,4,1,893
240180 BREJINHO,164,27,1,,,,144,198,175,122,82,,83,93,71,41,21,7,3,15,5,1,1,2,9,1,9,1275
240185 CAICARA DO NORTE,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,2,5
240190 CAICARA DO RIO DO VENTO,,8,8,4,10,8,7,1,1,,,,,,,1,1,,1,1,,1,,1,,,3,56
240200 CAICO,2,2182,2067,1828,2010,1762,1646,1579,1534,1494,1386,1388,1287,1272,1233,1166,1102,1215,1119,1007,1122,1087,1031,1097,1117,1055,1024,35812
240210 CAMPO REDONDO,,79,111,154,105,125,103,93,109,51,43,53,41,36,19,26,18,14,12,,1,,,1,,,1,1195
240220 CANGUARETAMA,704,828,788,231,85,684,902,480,292,463,696,537,508,444,160,335,296,233,277,98,,2,,9,4,10,10,9076
240230 CARAUBAS,,595,569,636,490,540,441,368,321,264,395,428,389,370,279,310,236,311,300,320,311,185,152,181,238,193,241,9063
240240 CARNAUBA DOS DANTAS,,89,79,83,60,64,40,32,27,23,38,18,14,14,27,41,26,48,33,27,38,26,5,23,23,4,7,909
240250 CARNAUBAIS,,24,5,28,68,73,71,60,69,65,41,46,31,25,13,40,30,18,9,9,8,13,3,,,,3,752
240260 CEARAMIRIM,7,1542,1174,879,832,864,837,962,942,784,995,1304,1139,817,815,981,495,584,487,524,626,504,172,305,578,694,1598,21441
240270 CERRO CORA,,211,165,127,118,88,42,111,66,107,90,114,124,105,114,88,87,104,57,41,70,29,24,17,4,9,9,2121
240280 CORONEL EZEQUIEL,,173,87,78,78,49,10,52,9,9,36,22,25,16,16,21,7,9,5,,,1,,1,,,,704
240290 CORONEL JOAO PESSOA,,41,29,39,30,26,25,23,44,29,48,45,22,32,3,,1,,,,1,,1,,,,,439
240300 CRUZETA,1,139,64,95,71,97,67,89,85,79,100,78,70,75,56,54,35,37,28,4,1,1,,,,2,2,1330
240310 CURRAIS NOVOS,6,1770,1777,1929,1761,1665,1380,1413,1392,1273,1062,1090,1186,1255,1292,1417,1416,1338,1258,1275,872,976,851,771,726,836,740,32727
240320 DOUTOR SEVERIANO,,43,21,33,56,56,32,23,18,14,7,15,,7,2,,1,2,2,,,,,,,,,332
240325 PARNAMIRIM,1004,975,980,807,1749,2000,1794,1801,2054,1882,2342,2440,2467,2266,2952,3660,4090,3529,2760,2908,2938,3007,2730,2686,2680,2462,2341,63304
240330 ENCANTO,,118,102,92,91,98,50,41,64,54,49,50,51,52,50,53,72,68,9,,,,,,,,,1164
240340 EQUADOR,,105,60,67,98,80,114,114,95,58,65,58,51,47,26,24,32,17,9,7,8,15,6,2,12,6,4,1180
240350 ESPIRITO SANTO,92,102,76,65,46,75,49,18,9,1,1,,,,,,,1,,,,,,2,1,,1,539
240360 EXTREMOZ,6,22,39,,,,3,2,,5,,,1,,,,,1,17,91,75,133,116,5,8,13,10,547
240370 FELIPE GUERRA,,9,16,16,8,8,4,20,5,4,4,,,,,,1,2,1,,,,,,,,,98
240375 FERNANDO PEDROZA,,,,,,1,,,,,,,,,,,,1,,,,,,2,1,,,5
240380 FLORANIA,,151,158,154,114,76,82,82,89,102,105,103,83,70,67,54,20,39,41,34,10,6,1,,,3,,1644
240390 FRANCISCO DANTAS,,24,18,27,20,6,,,1,,,,,,,,1,,,,,,,,,,,97
240400 FRUTUOSO GOMES,,138,158,75,64,82,101,33,50,53,49,70,40,39,22,49,70,72,34,22,40,39,42,29,27,27,31,1456
240410 GALINHOS,,19,19,11,9,10,5,9,5,7,9,15,2,,,1,,,,,1,1,1,,,,,124
240420 GOIANINHA,382,360,312,333,224,191,189,164,266,271,227,176,94,49,52,85,110,242,198,182,84,38,48,42,33,26,29,4407
240430 GOVERNADOR DIXSEPT ROSADO,,91,63,77,51,16,34,40,44,43,37,48,39,16,,3,,,,,2,,,1,2,,,607
240440 GROSSOS,,30,8,37,37,6,3,19,14,13,11,8,1,4,3,5,2,1,1,1,,2,,,,,,206
240450 GUAMARE,,15,17,29,24,34,24,15,10,5,1,93,115,130,105,83,100,88,92,81,67,198,246,228,273,243,254,2570
240460 IELMO MARINHO,1,,,,4,2,,1,,7,2,3,1,2,1,2,,2,,1,,,,4,4,2,,39
240470 IPANGUACU,,75,19,1,,,,1,1,3,,,,,,,,,,,,,1,3,3,,2,109
240480 IPUEIRA,,,,,,,13,14,4,13,12,,,,,,,,,,,,1,,,,,57
240485 ITAJA,,,,1,2,,1,,,,,,,,,,,,,,,,,,,,1,5
240490 ITAU,,108,79,58,76,43,27,27,56,63,36,46,40,32,22,27,18,12,3,4,1,,,1,,,,779
240500 JACANA,,47,91,105,102,105,83,116,114,87,83,71,50,24,31,32,20,15,1,18,13,5,,,4,,5,1222
240510 JANDAIRA,,,2,41,51,79,45,40,31,30,8,6,4,,3,1,2,2,2,,,,1,1,2,2,1,354
