ano,maior_numero_nascidos,menor_numero_nascidos,media_de_nascimentos,desvio_padrao,total_de_nascimentos
1994,22540,1,181,1744,30219
1995,22685,1,361,1834,60324
1996,22738,1,348,1826,58143
1997,22073,1,344,1771,57409
1998,21560,1,346,1741,57748
1999,22524,1,349,1809,58249
2000,22015,1,339,1763,56578
2001,20387,1,321,1649,53657
2002,19416,1,319,1585,53343
2003,20464,1,314,1654,52499
2004,19393,1,305,1579,50976
2005,20216,1,314,1640,52459
2006,18737,1,289,1529,48323
2007,18183,1,290,1503,48444
2008,19618,1,301,1616,50246
2009,18375,1,296,1533,49445
2010,18523,1,289,1543,48217
2011,19912,1,292,1639,48724
2012,21363,1,285,1737,47528
2013,20762,1,283,1701,47267
2014,20729,1,291,1710,48635
2015,22267,1,297,1831,49527
2016,20250,1,275,1683,45909
2017,20943,1,280,1745,46709
2018,20352,1,291,1727,48641
2019,16777,1,267,1476,44623
2020,17472,1,264,1520,44084
